Gênero,Cargo,Faixa_Etária,Departamento,Instrução,Tipo_Contrato
Masculino,Júnior,46+,Comercial,Médio,Efetivo
Masculino,Sênior,26-35,Operações,Médio,Efetivo
Feminino,Gerente,26-35,Operações,Superior,Efetivo
Feminino,Júnior,26-35,TI,Pós-graduação,Efetivo
Feminino,Júnior,<=25,RH,Pós-graduação,Efetivo
Feminino,Júnior,36-45,Operações,Superior,Terceirizado
Feminino,Pleno,<=25,TI,Médio,Efetivo
Feminino,Sênior,<=25,Operações,Superior,Efetivo
Masculino,Júnior,26-35,TI,Pós-graduação,Temporário
Masculino,Diretor,26-35,TI,Médio,Efetivo
Masculino,Júnior,46+,Operações,Pós-graduação,Efetivo
Masculino,Gerente,26-35,Operações,Superior,Efetivo
Feminino,Júnior,26-35,TI,Pós-graduação,Efetivo
Masculino,Júnior,26-35,RH,Pós-graduação,Efetivo
Feminino,Júnior,46+,Comercial,Superior,Efetivo
Masculino,Gerente,<=25,Operações,Médio,Efetivo
Feminino,Gerente,46+,TI,Médio,Efetivo
Feminino,Júnior,26-35,Comercial,Pós-graduação,Efetivo
Feminino,Sênior,26-35,RH,Superior,Efetivo
Feminino,Pleno,36-45,Operações,Superior,Terceirizado
Masculino,Pleno,<=25,TI,Médio,Efetivo
Masculino,Pleno,<=25,Comercial,Médio,Efetivo
Masculino,Sênior,26-35,Comercial,Superior,Efetivo
Masculino,Júnior,<=25,TI,Médio,Temporário
Masculino,Júnior,26-35,Comercial,Superior,Efetivo
Masculino,Sênior,36-45,Operações,Pós-graduação,Temporário
Masculino,Diretor,26-35,Comercial,Superior,Efetivo
Feminino,Júnior,26-35,Comercial,Superior,Efetivo
Masculino,Gerente,46+,Operações,Superior,Efetivo
Masculino,Pleno,26-35,Operações,Superior,Efetivo
Masculino,Júnior,36-45,Operações,Superior,Efetivo
Feminino,Júnior,26-35,TI,Pós-graduação,Terceirizado
Feminino,Sênior,46+,Comercial,Superior,Efetivo
Masculino,Pleno,26-35,TI,Superior,Efetivo
Masculino,Pleno,26-35,TI,Superior,Efetivo
Masculino,Sênior,26-35,TI,Superior,Efetivo
Masculino,Júnior,26-35,TI,Superior,Efetivo
Feminino,Júnior,26-35,Comercial,Médio,Temporário
Masculino,Pleno,26-35,Operações,Pós-graduação,Efetivo
Feminino,Pleno,46+,Operações,Pós-graduação,Efetivo
Feminino,Sênior,36-45,TI,Pós-graduação,Efetivo
Feminino,Júnior,<=25,RH,Pós-graduação,Efetivo
Masculino,Júnior,26-35,Comercial,Superior,Efetivo
Feminino,Gerente,26-35,Operações,Médio,Efetivo
Masculino,Pleno,46+,RH,Pós-graduação,Temporário
Feminino,Júnior,26-35,Operações,Médio,Temporário
Masculino,Gerente,<=25,Comercial,Superior,Efetivo
Feminino,Pleno,36-45,Operações,Médio,Efetivo
Masculino,Pleno,46+,Operações,Pós-graduação,Efetivo
Feminino,Sênior,46+,RH,Superior,Efetivo
Masculino,Pleno,26-35,Operações,Médio,Efetivo
Masculino,Diretor,26-35,Operações,Superior,Temporário
Masculino,Júnior,36-45,Comercial,Pós-graduação,Efetivo
Masculino,Sênior,36-45,Operações,Superior,Efetivo
Feminino,Pleno,<=25,Operações,Pós-graduação,Temporário
Feminino,Pleno,36-45,RH,Médio,Temporário
Feminino,Júnior,36-45,Comercial,Superior,Efetivo
Feminino,Sênior,<=25,Comercial,Médio,Efetivo
Feminino,Júnior,26-35,TI,Superior,Temporário
Masculino,Sênior,26-35,Operações,Superior,Terceirizado
Masculino,Júnior,26-35,Comercial,Médio,Efetivo
Masculino,Pleno,36-45,Operações,Médio,Temporário
Masculino,Júnior,<=25,RH,Superior,Efetivo
Masculino,Júnior,26-35,RH,Médio,Temporário
Feminino,Pleno,46+,RH,Médio,Terceirizado
Masculino,Sênior,46+,Operações,Superior,Efetivo
Masculino,Júnior,36-45,Operações,Superior,Temporário
Feminino,Sênior,26-35,Operações,Médio,Terceirizado
Masculino,Júnior,26-35,Operações,Médio,Efetivo
Masculino,Pleno,36-45,TI,Pós-graduação,Efetivo
Feminino,Sênior,26-35,TI,Superior,Efetivo
Masculino,Júnior,26-35,Operações,Superior,Temporário
Feminino,Gerente,<=25,Comercial,Médio,Efetivo
Masculino,Sênior,36-45,Operações,Médio,Efetivo
Masculino,Pleno,46+,RH,Superior,Efetivo
Masculino,Pleno,<=25,RH,Médio,Efetivo
Masculino,Sênior,26-35,TI,Superior,Temporário
Masculino,Gerente,36-45,TI,Médio,Efetivo
Masculino,Júnior,26-35,Comercial,Médio,Efetivo
Feminino,Júnior,46+,Comercial,Médio,Efetivo
Feminino,Júnior,36-45,TI,Superior,Efetivo
Masculino,Pleno,26-35,Comercial,Superior,Temporário
Feminino,Sênior,<=25,TI,Superior,Efetivo
Feminino,Pleno,36-45,TI,Médio,Terceirizado
Masculino,Júnior,26-35,Operações,Superior,Efetivo
Masculino,Júnior,<=25,RH,Superior,Efetivo
Feminino,Diretor,<=25,Operações,Pós-graduação,Efetivo
Feminino,Pleno,26-35,Operações,Superior,Efetivo
Feminino,Sênior,26-35,TI,Médio,Terceirizado
Feminino,Sênior,36-45,TI,Pós-graduação,Efetivo
Feminino,Pleno,36-45,RH,Médio,Terceirizado
Feminino,Pleno,26-35,RH,Superior,Efetivo
Feminino,Júnior,36-45,TI,Médio,Terceirizado
Masculino,Pleno,26-35,Operações,Superior,Temporário
Masculino,Júnior,<=25,RH,Pós-graduação,Efetivo
Masculino,Pleno,46+,RH,Superior,Efetivo
Feminino,Gerente,26-35,Operações,Médio,Terceirizado
Masculino,Pleno,26-35,Operações,Superior,Temporário
Feminino,Júnior,46+,Comercial,Superior,Efetivo
Feminino,Diretor,26-35,RH,Médio,Efetivo
